text,starred,paraphrase,impossible/unlikely/terrible collocation,(original) wordcount
I am to eat macaroni.,FALSE,I am to dance waltzes.,I am to swallow tractors.,5
It’s quarter past four.,FALSE,It’s twenty past twelve.,It’s a quarter past seventy.,4
He looked up the number.,FALSE,He sorted out the confusion.,He looked up the watermelon.,5
"In every club in London, people threw up their hands in the air.",FALSE,"In every classroom in Georgia, students threw up their hands in the air.","In every club in London, people threw up their tentacles in the air.",13
Julie and Jenny arrived first.,FALSE,Julie and Jenny left last.,Julie and Jenny fermented first.,5
"Raffi slept well, and Gillian will too.",FALSE,"Raffi ate well, and Gillian will too.","Raffi gasped well, and Gillian will too.",7
Has the man eaten the cake?,FALSE,Has the girl thrown the ball?,Has the man inflated the cake?,6
Ron definitely has bought a dog.,FALSE,Ron definitely has painted a wall.,Ron definitely has barbecued an insight.,6
Benjamin gave the cloak to Lee.,FALSE,Benjamin passed the hat to Lee.,Benjamin moved the emotion to Lee.,6
I think she will go.,FALSE,I reckon she won’t stay.,I conclude she will ponder.,5
The Gorgon is easy to slay.,FALSE,The Gorgon is hard to find.,The mattress is easy to slay.,6
Humans love to eat them.,FALSE,Fish love to find them.,Fish need to inhale them.,5
I want to sing.,FALSE,I want to swim.,I want to irradiate.,4
Jason persuaded Mandy to desert her family.,FALSE,Jack convinced Michelle to desert her team.,Jack persuaded Michelle to desert her sneakers.,7
The Peter we all like was at the party.,FALSE,The Jasmine they all detest was at the opening.,The Jasmine we all murdered was under the balloon.,9
That bottle of water might have cracked open.,FALSE,That basket of rice might have split open.,That bag of gophers might have shattered open.,8
Burn letters to Peter!,FALSE,Copy letters to Peter!,Prove letters to Peter!,4
John perhaps should be leaving.,FALSE,John perhaps should be listening.,William perhaps should be drowning.,5
